Al2O3,CaO,MgO,SiO2,Tliq.C
15.78672,10.33337,9.584867,64.29504,1300
21.92761,7.03576,16.31531,54.72133,1450
11.48719,51.34098,11.50984,25.66199,1553
13.98363,48.01114,14.0104,23.99483,1454
14.67098,47.08407,14.70856,23.53639,1421
15.13647,46.46928,15.16709,23.22716,1430
16.30126,44.91144,16.33577,22.45153,1475
17.47818,43.33737,17.51662,21.66782,1510
14.67098,47.08407,14.70856,23.53639,1420
26.06128,47.6789,2.417239,23.84258,1574
27.27527,45.25352,4.843334,22.62788,1559
28.00773,43.79493,6.299978,21.89737,1538
28.49371,42.81924,7.278335,21.40872,1529
28.99014,41.84648,8.241842,20.92153,1556
13.99995,44.50598,19.24338,22.25069,1538
17.25549,40.62142,21.81869,20.30441,1538
16.32054,41.86893,20.87872,20.93181,1531
14.78386,44.94556,17.80013,22.47046,1474
15.50535,44.47376,17.78815,22.23273,1461
14.25701,46.39499,16.14923,23.19877,1437
12.62227,45.87891,18.56488,22.93395,1537
11.29196,47.67298,17.19876,23.8363,1535
12.97408,46.08585,17.90267,23.0374,1509
12.67839,46.77982,17.15562,23.38616,1499
14.09426,45.8677,17.11157,22.92646,1436
18.89282,37.75904,24.47088,18.87726,1582
17.33415,41.52115,20.38862,20.75607,1522
16.39463,42.77057,19.45037,21.38443,1500
14.79853,45.92209,16.3265,22.95288,1440
14.6525,46.62542,15.40808,23.314,1417
11.29375,48.54593,15.88579,24.27454,1521
11.34377,49.46701,14.4677,24.72153,1537
14.15788,46.78224,15.67438,23.38551,1423
14.42093,46.93698,15.17922,23.46286,1420
33.42266,36.85238,9.988527,19.73644,1554
26.93204,41.12725,9.918078,22.02263,1462
25.10834,42.4992,9.639138,22.75331,1432
28.48633,40.39462,9.486155,21.6329,1481
30.41069,39.19662,9.399214,20.99347,1506
24.75925,42.91848,9.343874,22.9784,1418
25.49724,42.42848,9.355187,22.71909,1433
27.34385,41.2248,9.351479,22.07988,1458
27.76224,41.32785,8.781166,22.12874,1463
29.44201,40.40792,8.504371,21.6457,1481
32.29669,39.11489,7.64713,20.94129,1504
34.49092,38.10493,7.000257,20.40389,1532
35.69185,37.44186,6.805072,20.06121,1526
35.37338,38.03166,6.229534,20.36543,1519
37.24553,36.99897,5.943299,19.8122,1526
39.50835,35.88448,5.388152,19.21902,1539
41.77231,34.78313,4.815277,18.62928,1543
23.6773,43.79718,9.068016,23.4575,1449
24.06036,43.73525,8.782775,23.42162,1437
24.47999,43.82957,8.22287,23.46757,1438
23.68628,44.80393,7.514967,23.99482,1472
22.3259,45.78268,7.367623,24.5238,1504
24.18674,44.57411,7.361734,23.87742,1558
21.47563,46.58238,6.989077,24.95291,1530
21.45237,47.57224,5.492562,25.48283,1551
23.94362,46.92628,3.999099,25.131,1513
23.91354,48.22942,2.017655,25.83939,1538
24.34956,48.71,0.8456762,26.09477,1540
25.91711,42.52517,8.775442,22.78228,1441
26.93783,42.37402,7.990441,22.69771,1462
29.70796,40.80255,7.642845,21.84664,1483
30.86103,40.41183,7.084794,21.64234,1500
28.94203,41.71133,6.999187,22.34746,1488
34.25829,38.74555,6.238669,20.7575,1513
36.01008,39.76017,5.645284,18.58447,1532
35.05901,38.71527,5.494012,20.73171,1532
35.81064,38.3018,5.37767,20.50989,1529
37.31265,37.49755,5.102806,20.08699,1513
28.93096,43.03654,4.982713,23.04978,1534
38.07741,37.18861,4.820027,19.91396,1539
40.3527,36.07894,4.244983,19.32337,1545
31.89194,41.74638,3.997877,22.3638,1546
25.61609,43.27734,7.939175,23.16739,1470
